,source,values,pvalues,target,source cell type,target cell type,CT
3326,AGT,0.1784743437192764,0.0,EDNRA,Ependymal,Endothelial,14
2670,AVP,0.17202703095530278,1.0,ADRB2,Ependymal,Endothelial,14
2664,ADM,0.10422792330817689,0.0,ADRB2,Ependymal,Endothelial,14
2306,PIK3IP1,0.48852593194941174,0.0,PIK3CA,Ependymal,Microglia,14
508,FGF7,0.40900766958789625,0.0,PIK3CA,Ependymal,Microglia,14
3255,FGF7,0.33573001031194377,0.0,PLAU,Ependymal,Microglia,14
4002,AVP,0.12302837262182809,1.0,RAMP2,Ependymal,Microglia,14
3717,INHBA,0.06565390558155246,0.0,ACVR2A,Ependymal,Microglia,14
3084,AGT,1.611018701058326,0.0,SGK1,Ependymal,Oligodendrocytes,14
1402,FGF7,0.24648539310850293,0.0,FGFR3,Ependymal,Oligodendrocytes,14
3066,AGT,0.21587950328840783,0.0,PLCB1,Ependymal,Oligodendrocytes,14
3065,CXCL12,0.123834948364867,0.045,PLCB1,Ependymal,Oligodendrocytes,14
2136,SFRP5,0.7054492958930229,0.0,FZD8,Ependymal,Neurons2,14
824,FGF7,0.579099552582422,0.0,IGF1R,Ependymal,Neurons2,14
3990,AVP,0.49284909047209885,0.001,AVPR1A,Ependymal,Neurons2,14
3894,SEMA3E,0.4455212772463445,0.0,NRP2,Ependymal,Neurons2,14
3143,ALCAM,0.4341342961419896,0.0,NRP1,Ependymal,Neurons2,14
