,TF,target,importance
86,Mycl,mt-Rnr2,19.917149782727922
26,Ddit3,Atf3,19.87241421421167
72,Klf9,Ahsa2,19.86026043617617
94,Nkx2-2,Lrrc42,19.839121537631502
26,Dbp,Slc38a2,19.82381839415341
33,Egr1,Hspa5,19.784258560350224
43,Fos,Nr4a1,19.782163750970163
26,Dbp,Mt1,19.683768435159195
94,Nkx2-2,Fut9,19.64658553491496
154,Tsc22d1,S100a13,19.640398017801733
94,Nkx2-2,Matn4,19.623854781109223
67,Jun,Nfasc,19.619352345079886
156,Tub,Mycl,19.598555932320554
33,Egr1,Tppp3,19.592958398735853
94,Nkx2-2,Tub,19.542770511818794
68,Junb,Glul,19.499358126235716
111,Pou3f2,Prkar2b,19.45634572081132
154,Tsc22d1,Bsg,19.450583200709826
33,Egr1,Utp14b,19.413982276184896
16,Cdc5l,Prkar2b,19.39993748773467
67,Jun,Sema6a,19.388859233907112
27,Ddit3,Celf4,19.367903272424872
154,Tsc22d1,Gm38039,19.330113504323606
94,Nkx2-2,Mpzl1,19.276943436294395
98,Nr1d1,Il33,19.26427777283405
149,Tef,Acsl3,19.204631866396415
77,Mafb,Cldn5,19.184453163222468
172,Zfp292,Obox3-ps7,19.13962182860241
